DI0.0;DI;MCC3.1.0_STATO;MCC3.1.0;_STATO;";"
DI0.1;DI;PA04A_STATO;PA04A;_STATO;";"
DI0.2;DI;PA04A_TERMICO;PA04A;_TERMICO;";"
DI0.3;DI;PA04B_STATO;PA04B;_STATO;";"
DI0.4;DI;PA04B_TERMICO;PA04B;_TERMICO;";"
DI0.5;DI;MSA01A_STATO;MSA01A;_STATO;";"
DI0.6;DI;MSA01A_TERMICO;MSA01A;_TERMICO;";"
DI0.7;DI;MSA02A_STATO;MSA02A;_STATO;";"
DI1.0;DI;MSA02A_TERMICO;MSA02A;_TERMICO;";"
DI1.1;DI;MSA03A_STATO;MSA03A;_STATO;";"
DI1.2;DI;MSA03A_TERMICO;MSA03A;_TERMICO;";"
DI1.3;DI;MEA01A_STATO;MEA01A;_STATO;";"
DI1.4;DI;MEA01A_TERMICO;MEA01A;_TERMICO;";"
DI1.5;DI;MSA04A_STATO;MSA04A;_STATO;";"
DI1.6;DI;MSA04A_TERMICO;MSA04A;_TERMICO;";"
DI1.7;DI;MSA04D_STATO;MSA04D;_STATO;";"
DI2.0;DI;MSA04D_TERMICO;MSA04D;_TERMICO;";"
DI2.1;DI;MSA04RIS_STATO;MSA04RIS;_STATO;";"
DI2.2;DI;MSA04RIS_TERMICO;MSA04RIS;_TERMICO;";"
DI2.3;DI;MSA05A_STATO;MSA05A;_STATO;";"
DI2.4;DI;MSA05A_TERMICO;MSA05A;_TERMICO;";"
DI2.5;DI;VGA01A_STATO;VGA01A;_STATO;";"
DI2.6;DI;VGA01A_TERMICO;VGA01A;_TERMICO;";"
DI2.7;DI;MCC3.1.3_RIS_2_STATO;MCC3.1.3_RIS_2;_STATO;";"
DI3.0;DI;MCC3.1.3_RIS_2_TERMICO;MCC3.1.3_RIS_2;_TERMICO;";"
DI3.1;DI;C8KF1_PRESENZA_RETE;C8KF1;_PRESENZA_RETE;";"
DI3.2;DI;C10TM1_BASSA_TEMP;C10TM1;_BASSA_TEMP;";"
DI3.3;DI;TM2_ALTA_TEMP;TM2;_ALTA_TEMP;";"
DI3.4;DI;MAA01A_STATO_INT;MAA01A;_STATO_INT;";"
DI3.5;DI;MAA01A_STATO_SEZ;MAA01A;_STATO_SEZ;";"
DI3.6;DI;MAA01A_TERMICO;MAA01A;_TERMICO;";"
DI3.7;DI;MAA01A_FAULT;MAA01A;_FAULT;";"
DI4.0;DI;MAA01A_MARCIA_CHIUSURA;MAA01A;_MARCIA_CHIUSURA;";"
DI4.1;DI;MAA01A_MARCIA_APERTURA;MAA01A;_MARCIA_APERTURA;";"
DI4.2;DI;MAA01A_REMOTO;MAA01A;_REMOTO;";"
DI4.3;DI;RISERVA_STATO_INT;RISERVA;_STATO_INT;";"
DI4.4;DI;RISERVA_STATO_SEZ;RISERVA;_STATO_SEZ;";"
DI4.5;DI;RISERVA_TERMICO;RISERVA;_TERMICO;";"
DI4.6;DI;RISERVA_ANOMALIA;RISERVA;_ANOMALIA;";"
DI4.7;DI;RISERVA_MARCIA_ARRESTO;RISERVA;_MARCIA_ARRESTO;";"
DI5.0;DI;RISERVA_LOCALE;RISERVA;_LOCALE;";"
DI5.1;DI;RISERVA_REMOTO;RISERVA;_REMOTO;";"
DI5.2;DI;PA03A_STATO_INT;PA03A;_STATO_INT;";"
DI5.3;DI;PA03A_STATO_SEZ;PA03A;_STATO_SEZ;";"
DI5.4;DI;PA03A_FAULT;PA03A;_FAULT;";"
DI5.5;DI;PA03A_ANOMALIA;PA03A;_ANOMALIA;";"
DI5.6;DI;PA03A_CONSENSO_START;PA03A;_CONSENSO_START;";"
DI5.7;DI;PA03A_MARCIA_ARRESTO;PA03A;_MARCIA_ARRESTO;";"
DI6.0;DI;PA03A_LOCALE;PA03A;_LOCALE;";"
DI6.1;DI;PA03A_REMOTO;PA03A;_REMOTO;";"
DI6.2;DI;MAA02A_STATO_INT;MAA02A;_STATO_INT;";"
DI6.3;DI;MAA02A_STATO_SEZ;MAA02A;_STATO_SEZ;";"
DI6.4;DI;MAA02A_TERMICO;MAA02A;_TERMICO;";"
DI6.5;DI;MAA02A_FAULT;MAA02A;_FAULT;";"
DI6.6;DI;MAA02A_MARCIA_CHIUSURA;MAA02A;_MARCIA_CHIUSURA;";"
DI6.7;DI;MAA02A_MARCIA_APERTURA;MAA02A;_MARCIA_APERTURA;";"
DI7.0;DI;MAA02A_REMOTO;MAA02A;_REMOTO;";"
DI7.1;DI;MAA02E_STATO_INT;MAA02E;_STATO_INT;";"
DI7.2;DI;MAA02E_STATO_SEZ;MAA02E;_STATO_SEZ;";"
DI7.3;DI;MAA02E_TERMICO;MAA02E;_TERMICO;";"
DI7.4;DI;MAA02E_FAULT;MAA02E;_FAULT;";"
DI7.5;DI;MAA02E_MARCIA_CHIUSURA;MAA02E;_MARCIA_CHIUSURA;";"
DI7.6;DI;MAA02E_MARCIA_APERTURA;MAA02E;_MARCIA_APERTURA;";"
DI7.7;DI;MAA02E_REMOTO;MAA02E;_REMOTO;";"
DI8.0;DI;PA05A_STATO_INT;PA05A;_STATO_INT;";"
DI8.1;DI;PA05A_STATO_SEZ;PA05A;_STATO_SEZ;";"
DI8.2;DI;PA05A_TERMICO;PA05A;_TERMICO;";"
DI8.3;DI;PA05A_ANOMALIA;PA05A;_ANOMALIA;";"
DI8.4;DI;PA05A_MARCIA_ARRESTO;PA05A;_MARCIA_ARRESTO;";"
DI8.5;DI;PA05A_LOCALE;PA05A;_LOCALE;";"
DI8.6;DI;PA05A_REMOTO;PA05A;_REMOTO;";"
DI8.7;DI;MAA05A_STATO_INT;MAA05A;_STATO_INT;";"
DI9.0;DI;MAA05A_STATO_SEZ;MAA05A;_STATO_SEZ;";"
DI9.1;DI;MAA05A_TERMICO;MAA05A;_TERMICO;";"
DI9.2;DI;MAA05A_FAULT;MAA05A;_FAULT;";"
DI9.3;DI;MAA05A_MARCIA_CHIUSURA;MAA05A;_MARCIA_CHIUSURA;";"
DI9.4;DI;MAA05A_MARCIA_APERTURA;MAA05A;_MARCIA_APERTURA;";"
DI9.5;DI;MAA05A_REMOTO;MAA05A;_REMOTO;";"
DI9.6;DI;MAA05D_STATO_INT;MAA05D;_STATO_INT;";"
DI9.7;DI;MAA05D_STATO_SEZ;MAA05D;_STATO_SEZ;";"
DI10.0;DI;MAA05D_TERMICO;MAA05D;_TERMICO;";"
DI10.1;DI;MAA05D_FAULT;MAA05D;_FAULT;";"
DI10.2;DI;MAA05D_MARCIA_CHIUSURA;MAA05D;_MARCIA_CHIUSURA;";"
DI10.3;DI;MAA05D_MARCIA_APERTURA;MAA05D;_MARCIA_APERTURA;";"
DI10.4;DI;MAA05D_REMOTO;MAA05D;_REMOTO;";"
DI10.5;DI;MAA05G_STATO_INT;MAA05G;_STATO_INT;";"
DI10.6;DI;MAA05G_STATO_SEZ;MAA05G;_STATO_SEZ;";"
DI10.7;DI;MAA05G_TERMICO;MAA05G;_TERMICO;";"
DI11.0;DI;MAA05G_FAULT;MAA05G;_FAULT;";"
DI11.1;DI;MAA05G_MARCIA_CHIUSURA;MAA05G;_MARCIA_CHIUSURA;";"
DI11.2;DI;MAA05G_MARCIA_APERTURA;MAA05G;_MARCIA_APERTURA;";"
DI11.3;DI;MAA05G_REMOTO;MAA05G;_REMOTO;";"
DI11.4;DI;MAA03A_STATO_INT;MAA03A;_STATO_INT;";"
DI11.5;DI;MAA03A_STATO_SEZ;MAA03A;_STATO_SEZ;";"
DI11.6;DI;MAA03A_TERMICO;MAA03A;_TERMICO;";"
DI11.7;DI;MAA03A_FAULT;MAA03A;_FAULT;";"
DI0.0;DI;MAA03A_MARCIA_CHIUSURA;MAA03A;_MARCIA_CHIUSURA;";"
DI0.1;DI;MAA03A_MARCIA_APERTURA;MAA03A;_MARCIA_APERTURA;";"
DI0.2;DI;MAA03A_REMOTO;MAA03A;_REMOTO;";"
DI0.3;DI;MAA03D_STATO_INT;MAA03D;_STATO_INT;";"
DI0.4;DI;MAA03D_STATO_SEZ;MAA03D;_STATO_SEZ;";"
DI0.5;DI;MAA03D_TERMICO;MAA03D;_TERMICO;";"
DI0.6;DI;MAA03D_FAULT;MAA03D;_FAULT;";"
DI0.7;DI;MAA03D_MARCIA_CHIUSURA;MAA03D;_MARCIA_CHIUSURA;";"
DI1.0;DI;MAA03D_MARCIA_APERTURA;MAA03D;_MARCIA_APERTURA;";"
DI1.1;DI;MAA03D_REMOTO;MAA03D;_REMOTO;";"
DI1.2;DI;PF02A_STATO_INT;PF02A;_STATO_INT;";"
DI1.3;DI;PF02A_STATO_SEZ;PF02A;_STATO_SEZ;";"
DI1.4;DI;PF02A_TERMICO;PF02A;_TERMICO;";"
DI1.5;DI;PF02A_ANOMALIA;PF02A;_ANOMALIA;";"
DI1.6;DI;PF02A_MARCIA_ARRESTO;PF02A;_MARCIA_ARRESTO;";"
DI1.7;DI;PF02A_LOCALE;PF02A;_LOCALE;";"
DI2.0;DI;PF02A_REMOTO;PF02A;_REMOTO;";"
DI2.1;DI;PF02RIS_STATO_INT;PF02RIS;_STATO_INT;";"
DI2.2;DI;PF02RIS_STATO_SEZ;PF02RIS;_STATO_SEZ;";"
DI2.3;DI;PF02RIS_TERMICO;PF02RIS;_TERMICO;";"
DI2.4;DI;PF02RIS_ANOMALIA;PF02RIS;_ANOMALIA;";"
DI2.5;DI;PF02RIS_MARCIA_ARRESTO;PF02RIS;_MARCIA_ARRESTO;";"
DI2.6;DI;PF02RIS_LOCALE;PF02RIS;_LOCALE;";"
DI2.7;DI;PF02RIS_REMOTO;PF02RIS;_REMOTO;";"
DI3.0;DI;PA06A_STATO_INT;PA06A;_STATO_INT;";"
DI3.1;DI;PA06A_STATO_SEZ;PA06A;_STATO_SEZ;";"
DI3.2;DI;PA06A_TERMICO;PA06A;_TERMICO;";"
DI3.3;DI;PA06A_ANOMALIA;PA06A;_ANOMALIA;";"
DI3.4;DI;PA06A_MARCIA_ARRESTO;PA06A;_MARCIA_ARRESTO;";"
DI3.5;DI;PA06A_LOCALE;PA06A;_LOCALE;";"
